common_name	SMILES_code	InChI_code	aroma	flavor
n,n-dimethyl menthyl succinamide	CC1CCC(C(C1)OC(=O)CCC(=O)N(C)C)C(C)C	InChI=1S/C16H29NO3/c1-11(2)13-7-6-12(3)10-14(13)20-16(19)9-8-15(18)17(4)5/h11-14H,6-10H2,1-5H3/t12-,13+,14-/m1/s1	vegetal|herbal minty fruity	vegetal|herbal minty fruity
(e)-4-methyl-2-(pent-1-enyl)-1,3-dioxolane	CCCC=CC1OCC(O1)C	InChI=1S/C9H16O2/c1-3-4-5-6-9-10-7-8(2)11-9/h5-6,8-9H,3-4,7H2,1-2H3/b6-5+	fruity	sharp|sour fruity
4,8-dimethyl-3,7-nonadien-2-ol	CC(C=C(C)CCC=C(C)C)O	InChI=1S/C11H20O/c1-9(2)6-5-7-10(3)8-11(4)12/h6,8,11-12H,5,7H2,1-4H3/b10-8+	fatty	earthy|woody
4,8-dimethyl-3,7-nonadien-2-yl acetate	CC(C=C(C)CCC=C(C)C)OC(=O)C	InChI=1S/C13H22O2/c1-10(2)7-6-8-11(3)9-12(4)15-13(5)14/h7,9,12H,6,8H2,1-5H3/b11-9+	sharp|spicy	fruity|citrusy sharp|bitter
2-methyl-1-butanol	CCC(C)CO	InChI=1S/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3	savory|cooked fruity fatty	
ethyl 3-mercaptobutyrate	CCOC(=O)CC(C)S	InChI=1S/C6H12O2S/c1-3-8-6(7)4-5(2)9/h5,9H,3-4H2,1-2H3	savory|cooked sharp|sour	
heptan-3-yl acetate	CCCCC(CC)OC(=O)C	InChI=1S/C9H18O2/c1-4-6-7-9(5-2)11-8(3)10/h9H,4-7H2,1-3H3	floral	fruity
1-phenylethanethiol	CC(C1=CC=CC=C1)S	InChI=1S/C8H10S/c1-7(9)8-5-3-2-4-6-8/h2-7,9H,1H3	savory|meaty	
3,5-diethyl-1,2,4-trithiolane	CCC1SC(SS1)CC	InChI=1S/C6H12S3/c1-3-5-7-6(4-2)9-8-5/h5-6H,3-4H2,1-2H3	sharp|sulfurous	vegetal
dihydrofarnesol	CC(CCC=C(C)CCC=C(C)C)CCO	InChI=1S/C15H28O/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-16/h7,9,15-16H,5-6,8,10-12H2,1-4H3/b14-9+	floral	
2(3h)-benzofuranone, hexahydro-3,6-dimethyl-	CC1CCC2C(C(=O)OC2C1)C	InChI=1S/C10H16O2/c1-6-3-4-8-7(2)10(11)12-9(8)5-6/h6-9H,3-5H2,1-2H3	vegetal|herbal dairy	
ethyl 3-acetoxy-2-methylbutyrate	CCOC(=O)C(C)C(C)OC(=O)C	InChI=1S/C9H16O4/c1-5-12-9(11)6(2)7(3)13-8(4)10/h6-7H,5H2,1-4H3	fruity	
methyl 5-acetoxyhexanoate	CC(CCCC(=O)OC)OC(=O)C	InChI=1S/C9H16O4/c1-7(13-8(2)10)5-4-6-9(11)12-3/h7H,4-6H2,1-3H3	fruity	
5-hexyl-4-methyldihydrofuran-2(3h)-one	CCCCCCC1C(CC(=O)O1)C	InChI=1S/C11H20O2/c1-3-4-5-6-7-10-9(2)8-11(12)13-10/h9-10H,3-8H2,1-2H3	floral	
nonan-3-yl acetate	CCCCCCC(CC)OC(=O)C	InChI=1S/C11H22O2/c1-4-6-7-8-9-11(5-2)13-10(3)12/h11H,4-9H2,1-3H3	vegetal|herbal fruity	fruity
2-furylacetone	CC(=O)CC1=CC=CO1	InChI=1S/C7H8O2/c1-6(8)5-7-3-2-4-9-7/h2-4H,5H2,1H3	vegetal|vegetable sharp|sour	vegetal|vegetable
l-tartaric acid	C(C(C(=O)O)O)(C(=O)O)O	InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)/t1-,2-/m1/s1		sharp|sour
4,8-dimethyl-3,7-nonadien-2-one	CC(=CCCC(=CC(=O)C)C)C	InChI=1S/C11H18O/c1-9(2)6-5-7-10(3)8-11(4)12/h6,8H,5,7H2,1-4H3/b10-8+	floral	dairy
(e)-2-(2-octenyl)cyclopentanone	CCCCCC=CCC1CCCC1=O	InChI=1S/C13H22O/c1-2-3-4-5-6-7-9-12-10-8-11-13(12)14/h6-7,12H,2-5,8-11H2,1H3/b7-6+	vegetal|herbal floral minty fruity sharp|repugnant	fruity earthy|nutty sharp|repugnant
cyclopentanone	C1CCC(=O)C1	InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2	earthy|woody	vegetal|herbal liquorlike fruity|citrusy
crotonic acid	CC=CC(=O)O	InChI=1S/C4H6O2/c1-2-3-4(5)6/h2-3H,1H3,(H,5,6)/b3-2+	sharp|sour	
2-decenoic acid	CCCCCCCC=CC(=O)O	InChI=1S/C10H18O2/c1-2-3-4-5-6-7-8-9-10(11)12/h8-9H,2-7H2,1H3,(H,11,12)/b9-8+	sharp|sour fruity sharp|bitter	nan
2-heptenoic acid	CCCCC=CC(=O)O	InChI=1S/C7H12O2/c1-2-3-4-5-6-7(8)9/h5-6H,2-4H2,1H3,(H,8,9)/b6-5+	sharp|sour	
2-hexene, 1,1-diethoxy-, (2e)-	CCCC=CC(OCC)OCC	InChI=1S/C10H20O2/c1-4-7-8-9-10(11-5-2)12-6-3/h8-10H,4-7H2,1-3H3/b9-8+	fruity	
trans-2-hexenyl butyrate	CCCC=CCOC(=O)CCC	InChI=1S/C10H18O2/c1-3-5-6-7-9-12-10(11)8-4-2/h6-7H,3-5,8-9H2,1-2H3/b7-6+	fruity	vegetal
trans-2-hexenyl formate	CCCC=CCOC=O	InChI=1S/C7H12O2/c1-2-3-4-5-6-9-7-8/h4-5,7H,2-3,6H2,1H3/b5-4+	liquorlike fruity	
(e)-2-hexenyl hexanoate	CCCCCC(=O)OCC=CCCC	InChI=1S/C12H22O2/c1-3-5-7-9-11-14-12(13)10-8-6-4-2/h7,9H,3-6,8,10-11H2,1-2H3/b9-7+	fruity	
trans-2-hexenyl isovalerate	CCCC=CCOC(=O)CC(C)C	InChI=1S/C11H20O2/c1-4-5-6-7-8-13-11(12)9-10(2)3/h6-7,10H,4-5,8-9H2,1-3H3/b7-6+	dairy fruity fatty	vegetal fruity
trans-2-hexenyl propionate	CCCC=CCOC(=O)CC	InChI=1S/C9H16O2/c1-3-5-6-7-8-11-9(10)4-2/h6-7H,3-5,8H2,1-2H3/b7-6+	fruity	
trans-2-hexenyl valerate	CCCCC(=O)OCC=CCCC	InChI=1S/C11H20O2/c1-3-5-7-8-10-13-11(12)9-6-4-2/h7-8H,3-6,9-10H2,1-2H3/b8-7+	fruity	liquorlike
trans-2-octen-1-ol	CCCCCC=CCO	InChI=1S/C8H16O/c1-2-3-4-5-6-7-8-9/h6-7,9H,2-5,8H2,1H3/b7-6+		vegetal|vegetable vegetal
3,7-dimethyloct-6-en-1-yn-3-ol	CC(=CCCC(C)(C#C)O)C	InChI=1S/C10H16O/c1-5-10(4,11)8-6-7-9(2)3/h1,7,11H,6,8H2,2-4H3	earthy|fungal sharp|repugnant	
3,6-nonadien-1-ol	CCC=CCC=CCCO	InChI=1S/C9H16O/c1-2-3-4-5-6-7-8-9-10/h3-4,6-7,10H,2,5,8-9H2,1H3	vegetal|vegetable nan fruity	fatty fruity savory|meaty
4-decenal	CCCCCC=CCCC=O	InChI=1S/C10H18O/c1-2-3-4-5-6-7-8-9-10-11/h6-7,10H,2-5,8-9H2,1H3/b7-6+	floral fruity|citrusy sharp|sour	nan
6-methyl-3-hepten-2-one	CC(C)CC=CC(=O)C	InChI=1S/C8H14O/c1-7(2)5-4-6-8(3)9/h4,6-7H,5H2,1-3H3/b6-4+	vegetal|herbal fatty	
7-methyl-3-octen-2-one	CC(C)CCC=CC(=O)C	InChI=1S/C9H16O/c1-8(2)6-4-5-7-9(3)10/h5,7-8H,4,6H2,1-3H3/b7-5+	fruity	vegetal
(2e,4e)-2,4-decadien-1-ol	CCCCCC=CC=CCO	InChI=1S/C10H18O/c1-2-3-4-5-6-7-8-9-10-11/h6-9,11H,2-5,10H2,1H3/b7-6+,9-8+	fruity|citrusy	dairy fruity
sorbic acid	CC=CC=CC(=O)O	InChI=1S/C6H8O2/c1-2-3-4-5-6(7)8/h2-5H,1H3,(H,7,8)/b3-2+,5-4+	dairy sharp|sour	
2,4-octadien-1-ol, (2e,4e)-	CCCC=CC=CCO	InChI=1S/C8H14O/c1-2-3-4-5-6-7-8-9/h4-7,9H,2-3,8H2,1H3/b5-4+,7-6+	savory|meaty	fatty
(e,e)-3,5-octadien-2-one	CCC=CC=CC(=O)C	InChI=1S/C8H12O/c1-3-4-5-6-7-8(2)9/h4-7H,3H2,1-2H3/b5-4+,7-6+	vegetal|herbal	dairy
(e,z)-2,6-nonadienyl acetate	CCC=CCCC=CCOC(=O)C	InChI=1S/C11H18O2/c1-3-4-5-6-7-8-9-10-13-11(2)12/h4-5,8-9H,3,6-7,10H2,1-2H3/b5-4-,9-8+	vegetal sharp|spicy floral vegetal|vegetable	earthy|nutty
3,6-nonadienyl acetate	CCC=CCC=CCCOC(=O)C	InChI=1S/C11H18O2/c1-3-4-5-6-7-8-9-10-13-11(2)12/h4-5,7-8H,3,6,9-10H2,1-2H3/b5-4+,8-7+		fruity
(s)-1-methoxy-3-heptanethiol	CCCCC(CCOC)S	InChI=1S/C8H18OS/c1-3-4-5-8(10)6-7-9-2/h8,10H,3-7H2,1-2H3/t8-/m0/s1	sharp|sulfurous	
cis-2-hexen-1-ol	CCCC=CCO	InChI=1S/C6H12O/c1-2-3-4-5-6-7/h4-5,7H,2-3,6H2,1H3/b5-4-		liquorlike
cis-3-hexenyl crotonate	CCC=CCCOC(=O)C=CC	InChI=1S/C10H16O2/c1-3-5-6-7-9-12-10(11)8-4-2/h4-6,8H,3,7,9H2,1-2H3/b6-5-,8-4+		vegetal fruity
cis-3-hexenyl anthranilate	CCC=CCCOC(=O)C1=CC=CC=C1N	InChI=1S/C13H17NO2/c1-2-3-4-7-10-16-13(15)11-8-5-6-9-12(11)14/h3-6,8-9H,2,7,10,14H2,1H3/b4-3-		floral
cis-3-hexenyl isobutyrate	CCC=CCCOC(=O)C(C)C	InChI=1S/C10H18O2/c1-4-5-6-7-8-12-10(11)9(2)3/h5-6,9H,4,7-8H2,1-3H3/b6-5-	fruity	fruity
cis-3-hexenyl propionate	CCC=CCCOC(=O)CC	InChI=1S/C9H16O2/c1-3-5-6-7-8-11-9(10)4-2/h5-6H,3-4,7-8H2,1-2H3/b6-5-	vegetal	
cis-3-hexenyl pyruvate	CCC=CCCOC(=O)C(=O)C	InChI=1S/C9H14O3/c1-3-4-5-6-7-12-9(11)8(2)10/h4-5H,3,6-7H2,1-2H3/b5-4-	sweet brown sharp|spicy	vegetal|herbal floral
cis-3-hexenyl pentanoate	CCCCC(=O)OCCC=CCC	InChI=1S/C11H20O2/c1-3-5-7-8-10-13-11(12)9-6-4-2/h5,7H,3-4,6,8-10H2,1-2H3/b7-5-	dairy fruity fatty	fruity
cis-4-hepten-1-ol	CCC=CCCCO	InChI=1S/C7H14O/c1-2-3-4-5-6-7-8/h3-4,8H,2,5-7H2,1H3/b4-3-	fruity	
(z)-4-hydroxy-6-dodecenoic acid lactone	CCCCCC=CCC1CCC(=O)O1	InChI=1S/C12H20O2/c1-2-3-4-5-6-7-8-11-9-10-12(13)14-11/h6-7,11H,2-5,8-10H2,1H3/b7-6-	dairy	fruity
(z)-4-(1-propenyl)phenol	CC=CC1=CC=C(C=C1)O	InChI=1S/C9H10O/c1-2-3-8-4-6-9(10)7-5-8/h2-7,10H,1H3/b3-2-		earthy|nutty
5-octenyl propanoate	CCC=CCCCCOC(=O)CC	InChI=1S/C11H20O2/c1-3-5-6-7-8-9-10-13-11(12)4-2/h5-6H,3-4,7-10H2,1-2H3/b6-5-	fruity	floral
(z)-8-tetradecenal	CCCCCC=CCCCCCCC=O	InChI=1S/C14H26O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15/h6-7,14H,2-5,8-13H2,1H3/b7-6-		vegetal
(z)-1-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2-buten-1-one	CC=CC(=O)C1=C(CCCC1(C)C)C	InChI=1S/C13H20O/c1-5-7-11(14)12-10(2)8-6-9-13(12,3)4/h5,7H,6,8-9H2,1-4H3/b7-5-		floral
(z)-1-(2,6,6-trimethyl-2-cyclohexen-1-yl)-2-buten-1-one	CC=CC(=O)C1C(=CCCC1(C)C)C	InChI=1S/C13H20O/c1-5-7-11(14)12-10(2)8-6-9-13(12,3)4/h5,7-8,12H,6,9H2,1-4H3/b7-5-		vegetal|herbal
limonene	CC1=CCC(CC1)C(=C)C	InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3	fruity|citrusy sharp|sour	
(-)-carvone	CC1=CCC(CC1=O)C(=C)C	InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9H,1,5-6H2,2-3H3/t9-/m1/s1	vegetal|herbal vegetal fatty minty	fatty
trans-2-hexenal dimethyl acetal	CCCC=CC(OC)OC	InChI=1S/C8H16O2/c1-4-5-6-7-8(9-2)10-3/h6-8H,4-5H2,1-3H3/b7-6+	fruity	fruity savory|meaty
1,1-dimethoxyethane	CC(OC)OC	InChI=1S/C4H10O2/c1-4(5-2)6-3/h4H,1-3H3	vegetal	
1,2,3-tris((1-ethoxy)ethoxy)propane	CCOC(C)OCC(COC(C)OCC)OC(C)OCC	InChI=1S/C15H32O6/c1-7-16-12(4)19-10-15(21-14(6)18-9-3)11-20-13(5)17-8-2/h12-15H,7-11H2,1-6H3		earthy|nutty
1,2,5,6-tetrahydrocuminic acid	CC(C)C1=CCC(CC1)C(=O)O	InChI=1S/C10H16O2/c1-7(2)8-3-5-9(6-4-8)10(11)12/h3,7,9H,4-6H2,1-2H3,(H,11,12)	vegetal|herbal sharp|sour	savory|meaty
1,2-butanedithiol	CCC(CS)S	InChI=1S/C4H10S2/c1-2-4(6)3-5/h4-6H,2-3H2,1H3	savory|cooked savory|meaty sharp|sulfurous	
4,6,9-trimethyl-3,5,8,10-tetraoxadodecane	CCOC(C)OCC(C)OC(C)OCC	InChI=1S/C11H24O4/c1-6-12-10(4)14-8-9(3)15-11(5)13-7-2/h9-11H,6-8H2,1-5H3		earthy|nutty
1,3-butanedithiol	CC(CCS)S	InChI=1S/C4H10S2/c1-4(6)2-3-5/h4-6H,2-3H2,1H3	sharp|spicy vegetal|allium sharp|sulfurous	
1,3-butanediol	CC(CCO)O	InChI=1S/C4H10O2/c1-4(6)2-3-5/h4-6H,2-3H2,1H3		sharp|bitter
1,3-diphenylacetone	C1=CC=C(C=C1)CC(=O)CC2=CC=CC=C2	InChI=1S/C15H14O/c16-15(11-13-7-3-1-4-8-13)12-14-9-5-2-6-10-14/h1-10H,11-12H2	sharp|bitter sharp|salty fruity earthy|nutty sharp|sour	brown floral sharp|bitter sweet
1,3-propanedithiol	C(CS)CS	InChI=1S/C3H8S2/c4-2-1-3-5/h4-5H,1-3H2	savory|meaty sharp|sulfurous	
4-acetyl-1,4-dimethyl-1-cyclohexene	CC1=CCC(CC1)(C)C(=O)C	InChI=1S/C10H16O/c1-8-4-6-10(3,7-5-8)9(2)11/h4H,5-7H2,1-3H3	dairy sharp|sour fruity	
1,4-dithiane	C1CSCCS1	InChI=1S/C4H8S2/c1-2-6-4-3-5-1/h1-4H2	vegetal|allium savory|fishy	vegetal|allium
1,5,9-trimethyl-13-oxabicyclo[10.1.0]trideca-4,8-diene	CC1=CCCC2(C(O2)CCC(=CCC1)C)C	InChI=1S/C15H24O/c1-12-6-4-7-13(2)9-10-14-15(3,16-14)11-5-8-12/h7-8,14H,4-6,9-11H2,1-3H3/b12-8+,13-7+	earthy|woody	
1,5-octadien-3-one	CCC=CCC(=O)C=C	InChI=1S/C8H12O/c1-3-5-6-7-8(9)4-2/h4-6H,2-3,7H2,1H3/b6-5+	earthy	
caprolactam	C1CCC(=O)NCC1	InChI=1S/C6H11NO/c8-6-4-2-1-3-5-7-6/h1-5H2,(H,7,8)	sharp|spicy	starchy fruity savory|meaty
1,6-hexanedithiol	C(CCCS)CCS	InChI=1S/C6H14S2/c7-5-3-1-2-4-6-8/h7-8H,1-6H2	savory|meaty	
1,8-octanedithiol	C(CCCCS)CCCS	InChI=1S/C8H18S2/c9-7-5-3-1-2-4-6-8-10/h9-10H,1-8H2	savory|meaty sharp|sulfurous	
1,9-nonanedithiol	C(CCCCS)CCCCS	InChI=1S/C9H20S2/c10-8-6-4-2-1-3-5-7-9-11/h10-11H,1-9H2	savory|meaty sharp|sulfurous	
cyclohexanepropanol, 2,2,6-trimethyl-alpha-propyl-	CCCC(CCC1C(CCCC1(C)C)C)O	InChI=1S/C15H30O/c1-5-7-13(16)9-10-14-12(2)8-6-11-15(14,3)4/h12-14,16H,5-11H2,1-4H3	earthy|woody	
(e)-1-(2,4,4-trimethyl-2-cyclohexen-1-yl)-2-buten-1-one	CC=CC(=O)C1CCC(C=C1C)(C)C	InChI=1S/C13H20O/c1-5-6-12(14)11-7-8-13(3,4)9-10(11)2/h5-6,9,11H,7-8H2,1-4H3/b6-5+	floral fruity	
4-(2-furyl)butan-2-one	CC(=O)CCC1=CC=CO1	InChI=1S/C8H10O2/c1-7(9)4-5-8-3-2-6-10-8/h2-3,6H,4-5H2,1H3	sweet brown sharp|spicy	brown starchy sharp|spicy sweet fruity savory|meaty
1-(3-hydroxy-5-methyl-2-thienyl)ethanone	CC1=CC(=C(S1)C(=O)C)O	InChI=1S/C7H8O2S/c1-4-3-6(9)7(10-4)5(2)8/h3,9H,1-2H3	savory|cooked brown savory|meaty	fatty savory|meaty
1-(4-methoxyphenyl)-4-methyl-1-penten-3-one	CC(C)C(=O)C=CC1=CC=C(C=C1)OC	InChI=1S/C13H16O2/c1-10(2)13(14)9-6-11-4-7-12(15-3)8-5-11/h4-10H,1-3H3/b9-6+	dairy brown fatty sweet fruity	dairy fruity fatty
1-(5,5-dimethyl-1-cyclohexen-1-yl)-4-penten-1-one	CC1(CCC=C(C1)C(=O)CCC=C)C	InChI=1S/C13H20O/c1-4-5-8-12(14)11-7-6-9-13(2,3)10-11/h4,7H,1,5-6,8-10H2,2-3H3	floral earthy|woody fruity	
1-(methylthio)-2-butanone	CCC(=O)CSC	InChI=1S/C5H10OS/c1-3-5(6)4-7-2/h3-4H2,1-2H3	brown earthy|fungal sharp|bitter	
1-(4-methoxyphenyl)pent-1-en-3-one	CCC(=O)C=CC1=CC=C(C=C1)OC	InChI=1S/C12H14O2/c1-3-11(13)7-4-10-5-8-12(14-2)9-6-10/h4-9H,3H2,1-2H3/b7-4+	dairy fatty	dairy fruity fatty
4-methoxyphenylacetone	CC(=O)CC1=CC=C(C=C1)OC	InChI=1S/C10H12O2/c1-8(11)7-9-3-5-10(12-2)6-4-9/h3-6H,7H2,1-2H3	vegetal|herbal sharp|sour sharp|sulfurous	vegetal|herbal
1-butanethiol	CCCCS	InChI=1S/C4H10S/c1-2-3-4-5/h5H,2-4H2,1H3	sharp|sulfurous	vegetal
1-decanol	CCCCCCCCCCO	InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3	floral fruity	floral
1-decen-3-ol	CCCCCCCC(C=C)O	InChI=1S/C10H20O/c1-3-5-6-7-8-9-10(11)4-2/h4,10-11H,2-3,5-9H2,1H3		dairy vegetal savory|meaty
1-ethoxy-3-methyl-2-butene	CCOCC=C(C)C	InChI=1S/C7H14O/c1-4-8-6-5-7(2)3/h5H,4,6H2,1-3H3	sweet fruity	sweet
2-acetyl-1-ethylpyrrole	CCN1C=CC=C1C(=O)C	InChI=1S/C8H11NO/c1-3-9-6-4-5-8(9)7(2)10/h4-6H,3H2,1-2H3	earthy|nutty	
1-ethylhexyl tiglate	CCCCCC(CC)OC(=O)C(=CC)C	InChI=1S/C13H24O2/c1-5-8-9-10-12(7-3)15-13(14)11(4)6-2/h6,12H,5,7-10H2,1-4H3/b11-6+	vegetal|herbal sharp|spicy	
1-hexadecanol	CCCCCCCCCCCCCCCCO	InChI=1S/C16H34O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h17H,2-16H2,1H3	dairy	
1-hexanethiol	CCCCCCS	InChI=1S/C6H14S/c1-2-3-4-5-6-7/h7H,2-6H2,1H3	fatty sharp|bitter savory|meaty savory|cooked sharp|sulfurous	savory|cooked sharp|bitter
1-hexen-3-ol	CCCC(C=C)O	InChI=1S/C6H12O/c1-3-5-6(7)4-2/h4,6-7H,2-3,5H2,1H3	savory|meaty	
1-hydroxybutan-2-one	CCC(=O)CO	InChI=1S/C4H8O2/c1-2-4(6)3-5/h5H,2-3H2,1H3		brown
2-methoxy-4-methyl-1-(propan-2-yl)cyclohexane	CC1CCC(C(C1)OC)C(C)C	InChI=1S/C11H22O/c1-8(2)10-6-5-9(3)7-11(10)12-4/h8-11H,5-7H2,1-4H3	sweet	fruity
1-mercapto-2-propanone	CC(=O)CS	InChI=1S/C3H6OS/c1-3(4)2-5/h5H,2H2,1H3	savory|meaty	savory|cooked savory|meaty
1-methylpyrrole-2-carboxaldehyde	CN1C=CC=C1C=O	InChI=1S/C6H7NO/c1-7-4-2-3-6(7)5-8/h2-5H,1H3	dairy	vegetal fruity
3-methylcyclohexane-1,2-dione	CC1CCCC(=O)C1=O	InChI=1S/C7H10O2/c1-5-3-2-4-6(8)7(5)9/h5H,2-4H2,1H3	savory|cooked sharp|sour sharp|bitter	vegetal
2-acetyl-1-methylpyrrole	CC(=O)C1=CC=CN1C	InChI=1S/C7H9NO/c1-6(9)7-4-3-5-8(7)2/h3-5H,1-2H3	brown sharp|bitter starchy|bready vegetal|vegetable	
1-methylnaphthalene	CC1=CC=CC2=CC=CC=C12	InChI=1S/C11H10/c1-9-5-4-7-10-6-2-3-8-11(9)10/h2-8H,1H3	earthy  fatty	
1-methylthio-2-propanone	CC(=O)CSC	InChI=1S/C4H8OS/c1-4(5)3-6-2/h3H2,1-2H3	fruity	vegetal
1-octanol	CCCCCCCCO	InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3	fruity|citrusy	vegetal|herbal
1-octen-3-ol	CCCCCC(C=C)O	InChI=1S/C8H16O/c1-3-5-6-7-8(9)4-2/h4,8-9H,2-3,5-7H2,1H3	earthy vegetal|herbal	vegetal|herbal vegetal earthy|fungal
1-octen-3-one	CCCCCC(=O)C=C	InChI=1S/C8H14O/c1-3-5-6-7-8(9)4-2/h4H,2-3,5-7H2,1H3	earthy|fungal	
1-octen-3-yl acetate	CCCCCC(C=C)OC(=O)C	InChI=1S/C10H18O2/c1-4-6-7-8-10(5-2)12-9(3)11/h5,10H,2,4,6-8H2,1,3H3	floral sharp|chemical earthy|fungal	
1-octen-3-yl butyrate	CCCCCC(C=C)OC(=O)CCC	InChI=1S/C12H22O2/c1-4-7-8-10-11(6-3)14-12(13)9-5-2/h6,11H,3-5,7-10H2,1-2H3	fruity|berry dairy fatty earthy sweet fruity sharp|repugnant earthy|fungal	earthy earthy|fungal sharp|repugnant savory|fishy
1-octene	CCCCCCC=C	InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3H,1,4-8H2,2H3		vegetal
1-p-menthene-8-thiol	CC1=CCC(CC1)C(C)(C)S	InChI=1S/C10H18S/c1-8-4-6-9(7-5-8)10(2,3)11/h4,9,11H,5-7H2,1-3H3	sharp|sulfurous fruity|citrusy sharp|bitter	nan fruity|citrusy sharp|bitter
1-pentanethiol	CCCCCS	InChI=1S/C5H12S/c1-2-3-4-5-6/h6H,2-5H2,1H3	savory|meaty	dairy
1-penten-3-ol	CCC(C=C)O	InChI=1S/C5H10O/c1-3-5(6)4-2/h3,5-6H,1,4H2,2H3	vegetal	
ethyl vinyl ketone	CCC(=O)C=C	InChI=1S/C5H8O/c1-3-5(6)4-2/h3H,1,4H2,2H3	sharp|spicy	
1-phenyl-1,2-propanedione	CC(=O)C(=O)C1=CC=CC=C1	InChI=1S/C9H8O2/c1-7(10)9(11)8-5-3-2-4-6-8/h2-6H,1H3	dairy fatty	starchy|bready sharp|sour
1-phenyl-1-propanol	CCC(C1=CC=CC=C1)O	InChI=1S/C9H12O/c1-2-9(10)8-6-4-3-5-7-8/h3-7,9-10H,2H2,1H3		sweet brown floral
1-phenyl-3-propyl-pyrazole	CCCC1=NN(C=C1)C2=CC=CC=C2	InChI=1S/C12H14N2/c1-2-6-11-9-10-14(13-11)12-7-4-3-5-8-12/h3-5,7-10H,2,6H2,1H3	savory|cooked	
3-methyl-1-phenyl-3-pentanol	CCC(C)(CCC1=CC=CC=C1)O	InChI=1S/C12H18O/c1-3-12(2,13)10-9-11-7-5-4-6-8-11/h4-8,13H,3,9-10H2,1-2H3	floral fruity	nan fruity
